country,rank,score,total_fixed_broadband_suscriptions_per_100_inhabitants_idx,total_mobile_broadband_subscriptions_per_100_inhabitants_idx,mobile_data_usage_per_mobile_broadband_subscription_gb_per_month_idx,average_cost_of_a_fixed_line_broadband_package_per_month_in_usd_idx,average_cost_of_fixed_line_broadband_per_megabit_per_month_in_usd_idx,avg_connection_speed_mb_s_idx,total_fixed_broadband_suscriptions_per_100_inhabitants,total_mobile_broadband_subscriptions_per_100_inhabitants,mobile_data_usage_per_mobile_broadband_subscription_gb_per_month,long_term_unemployment_rate_percentage,personal_earnings_us_dollar,educational_attainment_percentage,years_in_education_years,life_expectancy_years,life_satisfaction_average_score,average_cost_of_a_fixed_line_broadband_package_per_month_in_usd,average_cost_of_fixed_line_broadband_per_megabit_per_month_in_usd,ppp_usd,avg_connection_speed_mb_s,urban_population_percent
Finland,1,77,55,85,100,46,90,83,31.489,154.635,19.39,2.13,42964,88,19.8,81.5,7.6,43.851608999999996,0.3548418777,44111,20.5,85.5
Latvia,2,70,42,65,64,91,95,62,27.309,130.376,12.78,3.35,23683,88,18,74.7,5.9,16.5537969,0.20335971124531252,25586,16.6,68.3
Sweden,3,70,78,60,34,53,97,94,39.052,124.428,7.32,1.12,42393,83,19.3,82.4,7.3,39.596925562500005,0.115722780125,50569,22.5,88
"Korea, Republic of",4,65,85,50,30,76,95,51,41.246,112.659,6.49,0.05,35191,88,17.3,82.4,5.9,25.523535368008336,0.19515812392924675,NA,NA,NA
Lithuania,5,63,45,39,48,100,99,48,28.154,98.544,9.93,2.69,24287,93,18.4,74.8,5.9,11.143762312499998,0.06407242100499846,26429,14.2,68
Estonia,6,62,56,80,48,71,84,34,31.964,148.807,9.82,1.92,24336,89,17.7,77.8,5.7,28.932045074999994,0.5406191079299999,26898,11.6,69.2
United States,7,61,62,77,24,36,93,73,33.859,144.658,5.39,0.66,60558,91,17.2,78.6,6.9,50,0.25989999999999996,63093,18.7,82.7
Netherlands,8,59,90,53,8,49,90,66,42.978,116.237,2.58,1.97,52877,78,18.7,81.6,7.4,42.432553125,0.3422428875,54262,17.4,92.2
Austria,9,58,46,30,84,59,83,48,28.53,88.478,16.4,1.84,50349,85,17,81.7,7.1,35.991152437500006,0.5569662915312499,50868,14.1,58.7
Japan,10,56,56,100,18,52,27,82,31.689,172.282,4.32,1.03,40863,NA,16.4,84.1,5.9,40.327526250000005,2.308928056340192,40573,20.2,91.8
